Conflict ID,Person ID,Activity 1,Activity 2,Location 1,Location 2,Start Time 1,End Time 1,Start Time 2,End Time 2,Overlap Start,Overlap End,Overlap Duration (minutes),Conflict Type,Severity
25,P001,Operations Check,Operations Check,Remote,Remote,2025-10-02 08:30,2025-10-02 09:15,2025-10-02 09:00,2025-10-02 09:45,2025-10-02 09:00,2025-10-02 09:15,15.00,partial_overlap,Medium
26,P001,Operations Check,Team Building,Remote,Training Room,2025-10-02 08:30,2025-10-02 09:15,2025-10-02 08:30,2025-10-02 09:00,2025-10-02 08:30,2025-10-02 09:00,30.00,containment,Medium
27,P001,Testing Acceptance,Client Visit,Training Room,Test Lab,2025-10-01 11:15,2025-10-01 11:30,2025-10-01 10:45,2025-10-01 11:30,2025-10-01 11:15,2025-10-01 11:30,15.00,containment,Medium
28,P001,Testing Acceptance,Deployment,Training Room,Conference Room B,2025-10-01 11:15,2025-10-01 11:30,2025-10-01 11:15,2025-10-01 11:30,2025-10-01 11:15,2025-10-01 11:30,15.00,containment,Medium
29,P001,Project Discussion,Project Discussion,Client Reception,Conference Room C,2025-10-05 14:00,2025-10-05 14:45,2025-10-05 14:00,2025-10-05 15:00,2025-10-05 14:00,2025-10-05 14:45,45.00,containment,Medium
30,P001,Project Discussion,Meeting,Client Reception,Conference Room A,2025-10-05 14:00,2025-10-05 14:45,2025-10-05 14:19,2025-10-05 15:18,2025-10-05 14:19,2025-10-05 14:45,26.00,partial_overlap,Medium
31,P001,Tech Sharing,Design Review,Cafe,Office Area 2,2025-10-02 18:30,2025-10-02 19:15,2025-10-02 18:51,2025-10-02 19:25,2025-10-02 18:51,2025-10-02 19:15,24.00,partial_overlap,Medium
32,P001,Brainstorming,Training,Conference Room C,Remote,2025-10-03 13:15,2025-10-03 14:00,2025-10-03 12:45,2025-10-03 13:30,2025-10-03 13:15,2025-10-03 13:30,15.00,partial_overlap,Medium
33,P001,Client Visit,Deployment,Test Lab,Conference Room B,2025-10-01 10:45,2025-10-01 11:30,2025-10-01 11:15,2025-10-01 11:30,2025-10-01 11:15,2025-10-01 11:30,15.00,containment,Medium
34,P001,Design Review,Operations Check,R&D Center,Test Lab,2025-10-02 09:45,2025-10-02 10:00,2025-10-02 09:45,2025-10-02 10:30,2025-10-02 09:45,2025-10-02 10:00,15.00,containment,Medium
35,P001,Meeting,Training,Product Showcase,Office Area 1,2025-10-08 13:30,2025-10-08 14:00,2025-10-08 13:57,2025-10-08 14:20,2025-10-08 13:57,2025-10-08 14:00,3.00,partial_overlap,Low
36,P001,Client Visit,Deployment,Client Reception,Online Meeting,2025-10-02 15:15,2025-10-02 16:00,2025-10-02 15:40,2025-10-02 16:19,2025-10-02 15:40,2025-10-02 16:00,20.00,partial_overlap,Medium
37,P001,Team Building,Product Demo,Product Showcase,Remote,2025-10-08 11:00,2025-10-08 11:45,2025-10-08 11:00,2025-10-08 12:30,2025-10-08 11:00,2025-10-08 11:45,45.00,containment,Medium
38,P001,Team Building,Testing Acceptance,Product Showcase,Cafe,2025-10-08 11:00,2025-10-08 11:45,2025-10-08 11:25,2025-10-08 11:45,2025-10-08 11:25,2025-10-08 11:45,20.00,containment,Medium
39,P001,Project Discussion,Meeting,Conference Room C,Conference Room A,2025-10-05 14:00,2025-10-05 15:00,2025-10-05 14:19,2025-10-05 15:18,2025-10-05 14:19,2025-10-05 15:00,41.00,partial_overlap,Medium
40,P001,Product Demo,Testing Acceptance,Remote,Cafe,2025-10-08 11:00,2025-10-08 12:30,2025-10-08 11:25,2025-10-08 11:45,2025-10-08 11:25,2025-10-08 11:45,20.00,containment,Medium
41,P001,Team Building,Code Review,Conference Room B,Office Area 1,2025-10-12 15:00,2025-10-12 15:30,2025-10-12 15:00,2025-10-12 15:45,2025-10-12 15:00,2025-10-12 15:30,30.00,containment,Medium
42,P001,Design Review,Operations Check,Product Showcase,Online Meeting,2025-10-15 08:15,2025-10-15 09:15,2025-10-15 09:00,2025-10-15 09:30,2025-10-15 09:00,2025-10-15 09:15,15.00,partial_overlap,Medium
43,P001,Code Review,Brainstorming,Office Area 1,Client Reception,2025-10-16 14:15,2025-10-16 15:15,2025-10-16 14:41,2025-10-16 15:34,2025-10-16 14:41,2025-10-16 15:15,34.00,partial_overlap,Medium
44,P001,Requirements Analysis,Testing Acceptance,Test Lab,Product Showcase,2025-10-18 08:45,2025-10-18 09:45,2025-10-18 09:00,2025-10-18 10:00,2025-10-18 09:00,2025-10-18 09:45,45.00,partial_overlap,Medium
45,P001,Team Building,Meeting,Office Area 2,Conference Room A,2025-10-12 11:30,2025-10-12 12:30,2025-10-12 12:15,2025-10-12 12:45,2025-10-12 12:15,2025-10-12 12:30,15.00,partial_overlap,Medium
46,P001,Product Demo,Client Visit,Cafe,Cafe,2025-10-15 09:30,2025-10-15 10:15,2025-10-15 09:50,2025-10-15 10:14,2025-10-15 09:50,2025-10-15 10:14,24.00,containment,Medium
47,P001,Operations Check,One-on-One,Conference Room C,Conference Room B,2025-10-15 16:30,2025-10-15 17:00,2025-10-15 15:45,2025-10-15 16:45,2025-10-15 16:30,2025-10-15 16:45,15.00,partial_overlap,Medium
48,P001,Operations Check,Operations Check,Conference Room C,Break Room,2025-10-15 16:30,2025-10-15 17:00,2025-10-15 16:43,2025-10-15 17:02,2025-10-15 16:43,2025-10-15 17:00,17.00,partial_overlap,Medium
49,P001,One-on-One,Operations Check,Conference Room B,Break Room,2025-10-15 15:45,2025-10-15 16:45,2025-10-15 16:43,2025-10-15 17:02,2025-10-15 16:43,2025-10-15 16:45,2.00,partial_overlap,Low
50,P001,Design Review,Product Demo,Conference Room B,Online Meeting,2025-10-16 17:30,2025-10-16 18:30,2025-10-16 17:36,2025-10-16 18:10,2025-10-16 17:36,2025-10-16 18:10,34.00,containment,Medium
51,P001,Project Discussion,Design Review,Conference Room A,Conference Room A,2025-10-16 11:30,2025-10-16 12:30,2025-10-16 11:15,2025-10-16 11:45,2025-10-16 11:30,2025-10-16 11:45,15.00,partial_overlap,Medium
52,P001,Code Review,Design Review,Break Room,Conference Room A,2025-10-21 11:15,2025-10-21 11:45,2025-10-21 11:31,2025-10-21 12:17,2025-10-21 11:31,2025-10-21 11:45,14.00,partial_overlap,Low
53,P001,Design Review,Design Review,Demo Hall,Conference Room A,2025-10-21 12:00,2025-10-21 12:30,2025-10-21 11:31,2025-10-21 12:17,2025-10-21 12:00,2025-10-21 12:17,17.00,partial_overlap,Medium
54,P001,Client Visit,Training,Break Room,Conference Room B,2025-10-23 09:00,2025-10-23 09:30,2025-10-23 08:45,2025-10-23 09:30,2025-10-23 09:00,2025-10-23 09:30,30.00,containment,Medium
55,P001,Client Visit,Requirements Analysis,Test Lab,Cafe,2025-10-22 08:15,2025-10-22 09:15,2025-10-22 08:30,2025-10-22 09:15,2025-10-22 08:30,2025-10-22 09:15,45.00,containment,Medium
56,P001,Project Discussion,Client Visit,Remote,Conference Room C,2025-10-23 09:30,2025-10-23 10:30,2025-10-23 09:30,2025-10-23 10:00,2025-10-23 09:30,2025-10-23 10:00,30.00,containment,Medium
57,P001,Tech Sharing,Design Review,Cafe,Break Room,2025-10-23 18:30,2025-10-23 19:15,2025-10-23 18:50,2025-10-23 19:21,2025-10-23 18:50,2025-10-23 19:15,25.00,partial_overlap,Medium
58,P001,Client Visit,Project Discussion,Client Reception,Remote,2025-10-24 10:45,2025-10-24 11:30,2025-10-24 10:45,2025-10-24 11:30,2025-10-24 10:45,2025-10-24 11:30,45.00,containment,Medium
59,P001,Code Review,Design Review,Conference Room A,Conference Room C,2025-10-23 15:45,2025-10-23 16:00,2025-10-23 15:30,2025-10-23 16:00,2025-10-23 15:45,2025-10-23 16:00,15.00,containment,Medium
60,P001,Design Review,Tech Sharing,Conference Room C,Conference Room C,2025-10-23 15:30,2025-10-23 16:00,2025-10-23 15:15,2025-10-23 15:31,2025-10-23 15:30,2025-10-23 15:31,1.00,partial_overlap,Low
61,P001,Code Review,Deployment,Client Reception,Office Area 2,2025-10-24 16:15,2025-10-24 16:45,2025-10-24 16:28,2025-10-24 16:59,2025-10-24 16:28,2025-10-24 16:45,17.00,partial_overlap,Medium
62,P001,Requirements Analysis,Training,Office Area 1,Conference Room C,2025-10-25 13:30,2025-10-25 14:00,2025-10-25 13:45,2025-10-25 14:15,2025-10-25 13:45,2025-10-25 14:00,15.00,partial_overlap,Medium
63,P001,Requirements Analysis,One-on-One,Office Area 2,Break Room,2025-10-24 18:15,2025-10-24 18:30,2025-10-24 18:00,2025-10-24 18:45,2025-10-24 18:15,2025-10-24 18:30,15.00,containment,Medium
64,P001,Product Demo,Tech Sharing,Test Lab,Conference Room C,2025-10-25 15:30,2025-10-25 16:15,2025-10-25 15:28,2025-10-25 15:56,2025-10-25 15:30,2025-10-25 15:56,26.00,partial_overlap,Medium
65,P001,Client Visit,One-on-One,Online Meeting,Client Reception,2025-10-31 18:00,2025-10-31 18:45,2025-10-31 18:14,2025-10-31 19:02,2025-10-31 18:14,2025-10-31 18:45,31.00,partial_overlap,Medium
66,P001,Tech Sharing,Team Building,Office Area 1,R&D Center,2025-10-30 13:17,2025-10-30 14:01,2025-10-30 13:15,2025-10-30 14:45,2025-10-30 13:17,2025-10-30 14:01,44.00,containment,Medium
67,P001,One-on-One,Design Review,Cafe,Office Area 2,2025-11-05 18:45,2025-11-05 19:45,2025-11-05 19:05,2025-11-05 19:57,2025-11-05 19:05,2025-11-05 19:45,40.00,partial_overlap,Medium
68,P001,One-on-One,Training,Cafe,Conference Room B,2025-11-05 18:45,2025-11-05 19:45,2025-11-05 19:17,2025-11-05 19:35,2025-11-05 19:17,2025-11-05 19:35,18.00,containment,Medium
69,P001,Team Building,Requirements Analysis,Online Meeting,Conference Room A,2025-11-02 16:45,2025-11-02 18:15,2025-11-02 17:30,2025-11-02 18:00,2025-11-02 17:30,2025-11-02 18:00,30.00,containment,Medium
70,P001,Team Building,One-on-One,Online Meeting,Conference Room C,2025-11-02 16:45,2025-11-02 18:15,2025-11-02 17:45,2025-11-02 18:45,2025-11-02 17:45,2025-11-02 18:15,30.00,partial_overlap,Medium
71,P001,Requirements Analysis,One-on-One,Conference Room A,Conference Room C,2025-11-02 17:30,2025-11-02 18:00,2025-11-02 17:45,2025-11-02 18:45,2025-11-02 17:45,2025-11-02 18:00,15.00,partial_overlap,Medium
72,P001,Design Review,Training,Office Area 2,Conference Room B,2025-11-05 19:05,2025-11-05 19:57,2025-11-05 19:17,2025-11-05 19:35,2025-11-05 19:17,2025-11-05 19:35,18.00,containment,Medium
73,P001,Training,Design Review,Office Area 1,Break Room,2025-11-11 16:45,2025-11-11 17:45,2025-11-11 16:15,2025-11-11 17:15,2025-11-11 16:45,2025-11-11 17:15,30.00,partial_overlap,Medium
74,P001,One-on-One,Training,Conference Room A,R&D Center,2025-11-08 15:00,2025-11-08 15:45,2025-11-08 14:45,2025-11-08 15:15,2025-11-08 15:00,2025-11-08 15:15,15.00,partial_overlap,Medium
75,P001,Code Review,Operations Check,R&D Center,Demo Hall,2025-11-13 14:15,2025-11-13 14:45,2025-11-13 14:15,2025-11-13 15:00,2025-11-13 14:15,2025-11-13 14:45,30.00,containment,Medium
76,P001,Brainstorming,Design Review,Office Area 2,Break Room,2025-11-12 15:45,2025-11-12 16:15,2025-11-12 16:11,2025-11-12 16:35,2025-11-12 16:11,2025-11-12 16:15,4.00,partial_overlap,Low
77,P001,Requirements Analysis,Design Review,Training Room,Test Lab,2025-11-13 08:00,2025-11-13 08:45,2025-11-13 08:15,2025-11-13 08:30,2025-11-13 08:15,2025-11-13 08:30,15.00,containment,Medium
78,P001,Design Review,Requirements Analysis,R&D Center,Product Showcase,2025-11-14 17:00,2025-11-14 18:00,2025-11-14 17:45,2025-11-14 18:45,2025-11-14 17:45,2025-11-14 18:00,15.00,partial_overlap,Medium
79,P001,Training,Deployment,R&D Center,Client Reception,2025-11-12 10:45,2025-11-12 11:15,2025-11-12 11:00,2025-11-12 11:45,2025-11-12 11:00,2025-11-12 11:15,15.00,partial_overlap,Medium
80,P001,Requirements Analysis,Product Demo,Product Showcase,R&D Center,2025-11-14 17:45,2025-11-14 18:45,2025-11-14 18:30,2025-11-14 19:15,2025-11-14 18:30,2025-11-14 18:45,15.00,partial_overlap,Medium
81,P001,Deployment,Project Discussion,Client Reception,Office Area 1,2025-11-12 11:00,2025-11-12 11:45,2025-11-12 11:17,2025-11-12 12:17,2025-11-12 11:17,2025-11-12 11:45,28.00,partial_overlap,Medium
82,P001,Training,Product Demo,Remote,Office Area 1,2025-11-16 12:00,2025-11-16 12:30,2025-11-16 12:14,2025-11-16 13:02,2025-11-16 12:14,2025-11-16 12:30,16.00,partial_overlap,Medium
83,P001,Client Visit,Training,Test Lab,Client Reception,2025-11-15 09:00,2025-11-15 09:45,2025-11-15 09:27,2025-11-15 09:51,2025-11-15 09:27,2025-11-15 09:45,18.00,partial_overlap,Medium
84,P001,Client Visit,Brainstorming,Test Lab,Conference Room C,2025-11-15 09:00,2025-11-15 09:45,2025-11-15 09:05,2025-11-15 09:39,2025-11-15 09:05,2025-11-15 09:39,34.00,containment,Medium
85,P001,Client Visit,Requirements Analysis,Test Lab,Demo Hall,2025-11-15 09:00,2025-11-15 09:45,2025-11-15 09:39,2025-11-15 10:31,2025-11-15 09:39,2025-11-15 09:45,6.00,partial_overlap,Low
86,P001,Client Visit,Team Building,Test Lab,Break Room,2025-11-15 09:00,2025-11-15 09:45,2025-11-15 09:33,2025-11-15 10:33,2025-11-15 09:33,2025-11-15 09:45,12.00,partial_overlap,Low
87,P001,One-on-One,Training,Online Meeting,Client Reception,2025-11-14 08:45,2025-11-14 09:30,2025-11-14 08:56,2025-11-14 09:53,2025-11-14 08:56,2025-11-14 09:30,34.00,partial_overlap,Medium
88,P001,Client Visit,Deployment,Online Meeting,Cafe,2025-11-19 09:00,2025-11-19 09:45,2025-11-19 09:07,2025-11-19 09:58,2025-11-19 09:07,2025-11-19 09:45,38.00,partial_overlap,Medium
89,P001,Brainstorming,Team Building,Cafe,Break Room,2025-11-20 13:30,2025-11-20 13:45,2025-11-20 13:30,2025-11-20 13:45,2025-11-20 13:30,2025-11-20 13:45,15.00,containment,Medium
90,P001,Training,Brainstorming,Client Reception,Conference Room C,2025-11-15 09:27,2025-11-15 09:51,2025-11-15 09:05,2025-11-15 09:39,2025-11-15 09:27,2025-11-15 09:39,12.00,partial_overlap,Low
91,P001,Training,Requirements Analysis,Client Reception,Demo Hall,2025-11-15 09:27,2025-11-15 09:51,2025-11-15 09:39,2025-11-15 10:31,2025-11-15 09:39,2025-11-15 09:51,12.00,partial_overlap,Low
92,P001,Training,Team Building,Client Reception,Break Room,2025-11-15 09:27,2025-11-15 09:51,2025-11-15 09:33,2025-11-15 10:33,2025-11-15 09:33,2025-11-15 09:51,18.00,partial_overlap,Medium
93,P001,Brainstorming,Team Building,Conference Room C,Break Room,2025-11-15 09:05,2025-11-15 09:39,2025-11-15 09:33,2025-11-15 10:33,2025-11-15 09:33,2025-11-15 09:39,6.00,partial_overlap,Low
94,P001,Requirements Analysis,Team Building,Demo Hall,Break Room,2025-11-15 09:39,2025-11-15 10:31,2025-11-15 09:33,2025-11-15 10:33,2025-11-15 09:39,2025-11-15 10:31,52.00,containment,Medium
95,P002,Training,Operations Check,Office Area 1,Online Meeting,2025-09-13 12:15,2025-09-13 13:15,2025-09-13 12:30,2025-09-13 13:29,2025-09-13 12:30,2025-09-13 13:15,45.00,partial_overlap,Medium
96,P002,Team Building,Requirements Analysis,Remote,Office Area 2,2025-09-14 16:45,2025-09-14 18:15,2025-09-14 16:45,2025-09-14 17:45,2025-09-14 16:45,2025-09-14 17:45,60.00,containment,High
97,P002,Brainstorming,Deployment,Test Lab,Remote,2025-09-21 12:15,2025-09-21 13:45,2025-09-21 12:22,2025-09-21 12:47,2025-09-21 12:22,2025-09-21 12:47,25.00,containment,Medium
98,P002,Design Review,Meeting,Product Showcase,Online Meeting,2025-09-24 16:15,2025-09-24 17:00,2025-09-24 16:35,2025-09-24 16:50,2025-09-24 16:35,2025-09-24 16:50,15.00,containment,Medium
99,P002,Testing Acceptance,Client Visit,Demo Hall,Product Showcase,2025-09-21 10:15,2025-09-21 11:00,2025-09-21 10:00,2025-09-21 10:45,2025-09-21 10:15,2025-09-21 10:45,30.00,partial_overlap,Medium
100,P002,Deployment,Client Visit,Product Showcase,Conference Room A,2025-09-21 08:00,2025-09-21 09:00,2025-09-21 08:16,2025-09-21 09:06,2025-09-21 08:16,2025-09-21 09:00,44.00,partial_overlap,Medium
101,P002,Training,One-on-One,Office Area 2,Online Meeting,2025-09-26 09:15,2025-09-26 10:15,2025-09-26 09:00,2025-09-26 09:45,2025-09-26 09:15,2025-09-26 09:45,30.00,partial_overlap,Medium
102,P002,Training,Testing Acceptance,Office Area 2,Client Reception,2025-09-26 09:15,2025-09-26 10:15,2025-09-26 09:00,2025-09-26 09:45,2025-09-26 09:15,2025-09-26 09:45,30.00,partial_overlap,Medium
103,P002,Training,Code Review,Office Area 2,Test Lab,2025-09-26 09:15,2025-09-26 10:15,2025-09-26 09:12,2025-09-26 09:45,2025-09-26 09:15,2025-09-26 09:45,30.00,partial_overlap,Medium
104,P002,Training,Deployment,Break Room,Test Lab,2025-09-24 12:15,2025-09-24 12:45,2025-09-24 12:40,2025-09-24 13:14,2025-09-24 12:40,2025-09-24 12:45,5.00,partial_overlap,Low
105,P002,Training,Tech Sharing,Break Room,Cafe,2025-09-24 12:15,2025-09-24 12:45,2025-09-24 12:20,2025-09-24 13:01,2025-09-24 12:20,2025-09-24 12:45,25.00,partial_overlap,Medium
106,P002,Tech Sharing,Testing Acceptance,Office Area 1,Product Showcase,2025-09-23 17:15,2025-09-23 18:00,2025-09-23 16:45,2025-09-23 17:45,2025-09-23 17:15,2025-09-23 17:45,30.00,partial_overlap,Medium
107,P002,One-on-One,Testing Acceptance,Online Meeting,Client Reception,2025-09-26 09:00,2025-09-26 09:45,2025-09-26 09:00,2025-09-26 09:45,2025-09-26 09:00,2025-09-26 09:45,45.00,containment,Medium
108,P002,One-on-One,Code Review,Online Meeting,Test Lab,2025-09-26 09:00,2025-09-26 09:45,2025-09-26 09:12,2025-09-26 09:45,2025-09-26 09:12,2025-09-26 09:45,33.00,containment,Medium
109,P002,Design Review,Product Demo,Remote,Office Area 1,2025-09-26 14:45,2025-09-26 15:15,2025-09-26 14:30,2025-09-26 15:15,2025-09-26 14:45,2025-09-26 15:15,30.00,containment,Medium
110,P002,Brainstorming,Team Building,Product Showcase,Training Room,2025-09-25 13:00,2025-09-25 13:45,2025-09-25 13:15,2025-09-25 14:00,2025-09-25 13:15,2025-09-25 13:45,30.00,partial_overlap,Medium
111,P002,Requirements Analysis,Project Discussion,Office Area 1,Training Room,2025-09-25 17:45,2025-09-25 18:15,2025-09-25 17:30,2025-09-25 18:15,2025-09-25 17:45,2025-09-25 18:15,30.00,containment,Medium
112,P002,Code Review,Client Visit,Client Reception,Cafe,2025-09-28 11:15,2025-09-28 12:00,2025-09-28 11:15,2025-09-28 12:00,2025-09-28 11:15,2025-09-28 12:00,45.00,containment,Medium
113,P002,Code Review,Brainstorming,Client Reception,Office Area 2,2025-09-28 11:15,2025-09-28 12:00,2025-09-28 11:15,2025-09-28 11:30,2025-09-28 11:15,2025-09-28 11:30,15.00,containment,Medium
114,P002,Testing Acceptance,Team Building,Remote,Training Room,2025-09-28 15:45,2025-09-28 16:15,2025-09-28 15:59,2025-09-28 16:59,2025-09-28 15:59,2025-09-28 16:15,16.00,partial_overlap,Medium
115,P002,Testing Acceptance,Design Review,Remote,Office Area 1,2025-09-28 15:45,2025-09-28 16:15,2025-09-28 16:00,2025-09-28 17:00,2025-09-28 16:00,2025-09-28 16:15,15.00,partial_overlap,Medium
116,P002,Testing Acceptance,Code Review,Client Reception,Test Lab,2025-09-26 09:00,2025-09-26 09:45,2025-09-26 09:12,2025-09-26 09:45,2025-09-26 09:12,2025-09-26 09:45,33.00,containment,Medium
117,P002,Client Visit,Brainstorming,Cafe,Office Area 2,2025-09-28 11:15,2025-09-28 12:00,2025-09-28 11:15,2025-09-28 11:30,2025-09-28 11:15,2025-09-28 11:30,15.00,containment,Medium
118,P002,Deployment,Tech Sharing,Test Lab,Cafe,2025-09-24 12:40,2025-09-24 13:14,2025-09-24 12:20,2025-09-24 13:01,2025-09-24 12:40,2025-09-24 13:01,21.00,partial_overlap,Medium
119,P002,Brainstorming,Code Review,Remote,Demo Hall,2025-10-01 16:00,2025-10-01 16:15,2025-10-01 15:45,2025-10-01 16:15,2025-10-01 16:00,2025-10-01 16:15,15.00,containment,Medium
120,P002,Brainstorming,Deployment,Remote,Remote,2025-10-01 16:00,2025-10-01 16:15,2025-10-01 15:09,2025-10-01 16:09,2025-10-01 16:00,2025-10-01 16:09,9.00,partial_overlap,Low
121,P002,Product Demo,Requirements Analysis,Product Showcase,Training Room,2025-10-01 17:30,2025-10-01 17:45,2025-10-01 17:12,2025-10-01 18:04,2025-10-01 17:30,2025-10-01 17:45,15.00,containment,Medium
122,P002,Deployment,Operations Check,Product Showcase,Online Meeting,2025-09-29 10:00,2025-09-29 10:30,2025-09-29 09:30,2025-09-29 10:15,2025-09-29 10:00,2025-09-29 10:15,15.00,partial_overlap,Medium
123,P002,Brainstorming,Testing Acceptance,Conference Room A,Office Area 2,2025-09-30 15:00,2025-09-30 15:30,2025-09-30 15:15,2025-09-30 15:45,2025-09-30 15:15,2025-09-30 15:30,15.00,partial_overlap,Medium
124,P002,Training,Requirements Analysis,R&D Center,Training Room,2025-10-01 17:15,2025-10-01 17:30,2025-10-01 17:12,2025-10-01 18:04,2025-10-01 17:15,2025-10-01 17:30,15.00,containment,Medium
125,P002,Product Demo,Requirements Analysis,Conference Room A,Training Room,2025-10-01 16:45,2025-10-01 17:15,2025-10-01 17:12,2025-10-01 18:04,2025-10-01 17:12,2025-10-01 17:15,3.00,partial_overlap,Low
126,P002,Requirements Analysis,Meeting,R&D Center,Office Area 1,2025-10-04 13:00,2025-10-04 13:45,2025-10-04 13:16,2025-10-04 13:37,2025-10-04 13:16,2025-10-04 13:37,21.00,containment,Medium
127,P002,One-on-One,Operations Check,Online Meeting,Remote,2025-10-03 08:45,2025-10-03 09:30,2025-10-03 09:04,2025-10-03 09:48,2025-10-03 09:04,2025-10-03 09:30,26.00,partial_overlap,Medium
