conflict_id,person_id,activity_1,activity_2,time_interval,conflict_type,overlap_minutes,severity
23,P001,Meeting,Code Review,2025-10-02 13:00 - 2025-10-02 13:30,containment,30,Medium
24,P001,Deployment,Requirements Analysis,2025-09-30 14:15 - 2025-09-30 14:45,partial overlap,30,Medium
25,P001,Team Building,Operations Check,2025-10-02 08:30 - 2025-10-02 09:00,containment,30,Medium
26,P001,Operations Check,Operations Check,2025-10-02 09:00 - 2025-10-02 09:15,partial overlap,15,Medium
27,P001,Client Visit,Testing Acceptance,2025-10-01 11:15 - 2025-10-01 11:30,containment,15,Medium
28,P001,Deployment,Testing Acceptance,2025-10-01 11:15 - 2025-10-01 11:30,full overlap,15,Medium
29,P001,Project Discussion,Project Discussion,2025-10-05 14:00 - 2025-10-05 14:45,containment,45,High
30,P001,Meeting,Project Discussion,2025-10-05 14:19 - 2025-10-05 14:45,partial overlap,26,Medium
31,P001,Design Review,Tech Sharing,2025-10-02 18:51 - 2025-10-02 19:15,partial overlap,24,Medium
32,P001,Training,Brainstorming,2025-10-03 13:15 - 2025-10-03 13:30,partial overlap,15,Medium
33,P001,Deployment,Client Visit,2025-10-01 11:15 - 2025-10-01 11:30,containment,15,Medium
34,P001,Operations Check,Design Review,2025-10-02 09:45 - 2025-10-02 10:00,containment,15,Medium
35,P001,Training,Meeting,2025-10-08 13:57 - 2025-10-08 14:00,partial overlap,3,Low
36,P001,Deployment,Client Visit,2025-10-02 15:40 - 2025-10-02 16:00,partial overlap,20,Medium
37,P001,Product Demo,Team Building,2025-10-08 11:00 - 2025-10-08 11:45,containment,45,High
38,P001,Testing Acceptance,Team Building,2025-10-08 11:25 - 2025-10-08 11:45,containment,20,Medium
39,P001,Meeting,Project Discussion,2025-10-05 14:19 - 2025-10-05 15:00,partial overlap,41,Medium
40,P001,Testing Acceptance,Product Demo,2025-10-08 11:25 - 2025-10-08 11:45,containment,20,Medium
41,P001,Code Review,Team Building,2025-10-12 15:00 - 2025-10-12 15:30,containment,30,Medium
42,P001,Operations Check,Design Review,2025-10-15 09:00 - 2025-10-15 09:15,partial overlap,15,Medium
43,P001,Brainstorming,Code Review,2025-10-16 14:41 - 2025-10-16 15:15,partial overlap,34,Medium
44,P001,Testing Acceptance,Requirements Analysis,2025-10-18 09:00 - 2025-10-18 09:45,partial overlap,45,High
45,P001,Meeting,Team Building,2025-10-12 12:15 - 2025-10-12 12:30,partial overlap,15,Medium
46,P001,Client Visit,Product Demo,2025-10-15 09:50 - 2025-10-15 10:14,containment,24,Medium
47,P001,One-on-One,Operations Check,2025-10-15 16:30 - 2025-10-15 16:45,partial overlap,15,Medium
48,P001,Operations Check,Operations Check,2025-10-15 16:43 - 2025-10-15 17:00,partial overlap,17,Medium
49,P001,Operations Check,One-on-One,2025-10-15 16:43 - 2025-10-15 16:45,partial overlap,2,Low
50,P001,Product Demo,Design Review,2025-10-16 17:36 - 2025-10-16 18:10,containment,34,Medium
51,P001,Design Review,Project Discussion,2025-10-16 11:30 - 2025-10-16 11:45,partial overlap,15,Medium
52,P001,Design Review,Code Review,2025-10-21 11:31 - 2025-10-21 11:45,partial overlap,14,Low
53,P001,Design Review,Design Review,2025-10-21 12:00 - 2025-10-21 12:17,partial overlap,17,Medium
54,P001,Training,Client Visit,2025-10-23 09:00 - 2025-10-23 09:30,containment,30,Medium
55,P001,Requirements Analysis,Client Visit,2025-10-22 08:30 - 2025-10-22 09:15,containment,45,High
56,P001,Client Visit,Project Discussion,2025-10-23 09:30 - 2025-10-23 10:00,containment,30,Medium
57,P001,Design Review,Tech Sharing,2025-10-23 18:50 - 2025-10-23 19:15,partial overlap,25,Medium
58,P001,Project Discussion,Client Visit,2025-10-24 10:45 - 2025-10-24 11:30,full overlap,45,High
59,P001,Design Review,Code Review,2025-10-23 15:45 - 2025-10-23 16:00,containment,15,Medium
60,P001,Tech Sharing,Design Review,2025-10-23 15:30 - 2025-10-23 15:31,partial overlap,1,Low
61,P001,Deployment,Code Review,2025-10-24 16:28 - 2025-10-24 16:45,partial overlap,17,Medium
62,P001,Training,Requirements Analysis,2025-10-25 13:45 - 2025-10-25 14:00,partial overlap,15,Medium
63,P001,One-on-One,Requirements Analysis,2025-10-24 18:15 - 2025-10-24 18:30,containment,15,Medium
64,P001,Tech Sharing,Product Demo,2025-10-25 15:30 - 2025-10-25 15:56,partial overlap,26,Medium
65,P001,One-on-One,Client Visit,2025-10-31 18:14 - 2025-10-31 18:45,partial overlap,31,Medium
66,P001,Team Building,Tech Sharing,2025-10-30 13:17 - 2025-10-30 14:01,containment,44,Medium
67,P001,Design Review,One-on-One,2025-11-05 19:05 - 2025-11-05 19:45,partial overlap,40,Medium
68,P001,Training,One-on-One,2025-11-05 19:17 - 2025-11-05 19:35,containment,18,Medium
69,P001,Requirements Analysis,Team Building,2025-11-02 17:30 - 2025-11-02 18:00,containment,30,Medium
70,P001,One-on-One,Team Building,2025-11-02 17:45 - 2025-11-02 18:15,partial overlap,30,Medium
71,P001,One-on-One,Requirements Analysis,2025-11-02 17:45 - 2025-11-02 18:00,partial overlap,15,Medium
72,P001,Training,Design Review,2025-11-05 19:17 - 2025-11-05 19:35,containment,18,Medium
73,P001,Design Review,Training,2025-11-11 16:45 - 2025-11-11 17:15,partial overlap,30,Medium
74,P001,Training,One-on-One,2025-11-08 15:00 - 2025-11-08 15:15,partial overlap,15,Medium
75,P001,Operations Check,Code Review,2025-11-13 14:15 - 2025-11-13 14:45,containment,30,Medium
76,P001,Design Review,Brainstorming,2025-11-12 16:11 - 2025-11-12 16:15,partial overlap,4,Low
77,P001,Design Review,Requirements Analysis,2025-11-13 08:15 - 2025-11-13 08:30,containment,15,Medium
78,P001,Requirements Analysis,Design Review,2025-11-14 17:45 - 2025-11-14 18:00,partial overlap,15,Medium
79,P001,Deployment,Training,2025-11-12 11:00 - 2025-11-12 11:15,partial overlap,15,Medium
80,P001,Product Demo,Requirements Analysis,2025-11-14 18:30 - 2025-11-14 18:45,partial overlap,15,Medium
81,P001,Project Discussion,Deployment,2025-11-12 11:17 - 2025-11-12 11:45,partial overlap,28,Medium
82,P001,Product Demo,Training,2025-11-16 12:14 - 2025-11-16 12:30,partial overlap,16,Medium
83,P001,Brainstorming,Client Visit,2025-11-15 09:05 - 2025-11-15 09:39,containment,34,Medium
84,P001,Training,Client Visit,2025-11-15 09:27 - 2025-11-15 09:45,partial overlap,18,Medium
85,P001,Team Building,Client Visit,2025-11-15 09:33 - 2025-11-15 09:45,partial overlap,12,Low
86,P001,Requirements Analysis,Client Visit,2025-11-15 09:39 - 2025-11-15 09:45,partial overlap,6,Low
87,P001,Training,One-on-One,2025-11-14 08:56 - 2025-11-14 09:30,partial overlap,34,Medium
88,P001,Deployment,Client Visit,2025-11-19 09:07 - 2025-11-19 09:45,partial overlap,38,Medium
89,P001,Team Building,Brainstorming,2025-11-20 13:30 - 2025-11-20 13:45,full overlap,15,Medium
90,P001,Brainstorming,Training,2025-11-15 09:27 - 2025-11-15 09:39,partial overlap,12,Low
91,P001,Team Building,Training,2025-11-15 09:33 - 2025-11-15 09:51,partial overlap,18,Medium
92,P001,Requirements Analysis,Training,2025-11-15 09:39 - 2025-11-15 09:51,partial overlap,12,Low
93,P001,Team Building,Brainstorming,2025-11-15 09:33 - 2025-11-15 09:39,partial overlap,6,Low
94,P001,Team Building,Requirements Analysis,2025-11-15 09:39 - 2025-11-15 10:31,containment,52,High
95,P002,Operations Check,Training,2025-09-13 12:30 - 2025-09-13 13:15,partial overlap,45,High
96,P002,Requirements Analysis,Team Building,2025-09-14 16:45 - 2025-09-14 17:45,containment,60,High
97,P002,Deployment,Brainstorming,2025-09-21 12:22 - 2025-09-21 12:47,containment,25,Medium
98,P002,Meeting,Design Review,2025-09-24 16:35 - 2025-09-24 16:50,containment,15,Medium
99,P002,Client Visit,Testing Acceptance,2025-09-21 10:15 - 2025-09-21 10:45,partial overlap,30,Medium
100,P002,Client Visit,Deployment,2025-09-21 08:16 - 2025-09-21 09:00,partial overlap,44,Medium
101,P002,One-on-One,Training,2025-09-26 09:15 - 2025-09-26 09:45,partial overlap,30,Medium
102,P002,Testing Acceptance,Training,2025-09-26 09:15 - 2025-09-26 09:45,partial overlap,30,Medium
103,P002,Code Review,Training,2025-09-26 09:15 - 2025-09-26 09:45,partial overlap,30,Medium
104,P002,Tech Sharing,Training,2025-09-24 12:20 - 2025-09-24 12:45,partial overlap,25,Medium
105,P002,Deployment,Training,2025-09-24 12:40 - 2025-09-24 12:45,partial overlap,5,Low
106,P002,Testing Acceptance,Tech Sharing,2025-09-23 17:15 - 2025-09-23 17:45,partial overlap,30,Medium
107,P002,Testing Acceptance,One-on-One,2025-09-26 09:00 - 2025-09-26 09:45,full overlap,45,High
108,P002,Code Review,One-on-One,2025-09-26 09:12 - 2025-09-26 09:45,containment,33,Medium
109,P002,Product Demo,Design Review,2025-09-26 14:45 - 2025-09-26 15:15,containment,30,Medium
110,P002,Team Building,Brainstorming,2025-09-25 13:15 - 2025-09-25 13:45,partial overlap,30,Medium
111,P002,Project Discussion,Requirements Analysis,2025-09-25 17:45 - 2025-09-25 18:15,containment,30,Medium
112,P002,Client Visit,Code Review,2025-09-28 11:15 - 2025-09-28 12:00,full overlap,45,High
113,P002,Brainstorming,Code Review,2025-09-28 11:15 - 2025-09-28 11:30,containment,15,Medium
114,P002,Team Building,Testing Acceptance,2025-09-28 15:59 - 2025-09-28 16:15,partial overlap,16,Medium
115,P002,Design Review,Testing Acceptance,2025-09-28 16:00 - 2025-09-28 16:15,partial overlap,15,Medium
116,P002,Code Review,Testing Acceptance,2025-09-26 09:12 - 2025-09-26 09:45,containment,33,Medium
117,P002,Brainstorming,Client Visit,2025-09-28 11:15 - 2025-09-28 11:30,containment,15,Medium
118,P002,Tech Sharing,Deployment,2025-09-24 12:40 - 2025-09-24 13:01,partial overlap,21,Medium
119,P002,Deployment,Brainstorming,2025-10-01 16:00 - 2025-10-01 16:09,partial overlap,9,Low
120,P002,Code Review,Brainstorming,2025-10-01 16:00 - 2025-10-01 16:15,containment,15,Medium
121,P002,Requirements Analysis,Product Demo,2025-10-01 17:30 - 2025-10-01 17:45,containment,15,Medium
122,P002,Operations Check,Deployment,2025-09-29 10:00 - 2025-09-29 10:15,partial overlap,15,Medium
123,P002,Testing Acceptance,Brainstorming,2025-09-30 15:15 - 2025-09-30 15:30,partial overlap,15,Medium
124,P002,Requirements Analysis,Training,2025-10-01 17:15 - 2025-10-01 17:30,containment,15,Medium
125,P002,Requirements Analysis,Product Demo,2025-10-01 17:12 - 2025-10-01 17:15,partial overlap,3,Low
126,P002,Meeting,Requirements Analysis,2025-10-04 13:16 - 2025-10-04 13:37,containment,21,Medium
127,P002,Operations Check,One-on-One,2025-10-03 09:04 - 2025-10-03 09:30,partial overlap,26,Medium
128,P002,Deployment,Code Review,2025-10-01 15:45 - 2025-10-01 16:09,partial overlap,24,Medium
129,P002,Design Review,Brainstorming,2025-10-06 14:45 - 2025-10-06 15:00,containment,15,Medium
130,P002,Design Review,Team Building,2025-09-28 16:00 - 2025-09-28 16:59,partial overlap,59,High
131,P002,Brainstorming,Testing Acceptance,2025-10-07 18:00 - 2025-10-07 18:45,containment,45,High
132,P002,Design Review,Testing Acceptance,2025-10-09 16:15 - 2025-10-09 16:30,partial overlap,15,Medium
133,P002,Code Review,Testing Acceptance,2025-10-18 11:47 - 2025-10-18 12:07,containment,20,Medium
134,P002,Meeting,Project Discussion,2025-10-15 13:30 - 2025-10-15 14:15,containment,45,High
135,P002,Team Building,Project Discussion,2025-10-15 14:00 - 2025-10-15 14:30,partial overlap,30,Medium
136,P002,Product Demo,Requirements Analysis,2025-10-14 08:15 - 2025-10-14 08:45,full overlap,30,Medium
137,P002,Requirements Analysis,Testing Acceptance,2025-10-13 16:45 - 2025-10-13 17:15,containment,30,Medium
138,P002,Requirements Analysis,Project Discussion,2025-10-18 18:15 - 2025-10-18 18:30,partial overlap,15,Medium
139,P002,Team Building,Meeting,2025-10-15 14:00 - 2025-10-15 14:15,partial overlap,15,Medium
140,P002,Requirements Analysis,Brainstorming,2025-10-18 18:30 - 2025-10-18 18:45,partial overlap,15,Medium
141,P002,Operations Check,Client Visit,2025-10-22 14:00 - 2025-10-22 14:30,containment,30,Medium
142,P002,Design Review,Client Visit,2025-10-22 14:15 - 2025-10-22 14:30,containment,15,Medium
143,P002,Training,Client Visit,2025-10-22 14:24 - 2025-10-22 14:45,partial overlap,21,Medium
144,P002,Tech Sharing,Project Discussion,2025-10-18 12:30 - 2025-10-18 13:15,partial overlap,45,High
145,P002,Design Review,Operations Check,2025-10-22 14:15 - 2025-10-22 14:30,containment,15,Medium
146,P002,Training,Operations Check,2025-10-22 14:24 - 2025-10-22 14:30,partial overlap,6,Low
147,P002,Training,Team Building,2025-10-25 13:30 - 2025-10-25 14:00,full overlap,30,Medium
148,P002,Meeting,Team Building,2025-10-25 13:45 - 2025-10-25 14:00,partial overlap,15,Medium
149,P002,Training,Design Review,2025-10-22 14:24 - 2025-10-22 14:30,partial overlap,6,Low
150,P002,Operations Check,Deployment,2025-10-22 18:15 - 2025-10-22 18:30,partial overlap,15,Medium
151,P002,Training,Meeting,2025-10-25 13:45 - 2025-10-25 14:00,partial overlap,15,Medium
152,P002,Team Building,Operations Check,2025-10-25 11:52 - 2025-10-25 12:00,partial overlap,8,Low
153,P002,Team Building,Product Demo,2025-10-25 12:00 - 2025-10-25 12:20,partial overlap,20,Medium
154,P002,Deployment,Project Discussion,2025-10-30 11:59 - 2025-10-30 12:30,partial overlap,31,Medium
155,P002,Team Building,Client Visit,2025-11-01 14:15 - 2025-11-01 14:45,partial overlap,30,Medium
156,P002,Training,Brainstorming,2025-10-29 17:30 - 2025-10-29 17:45,partial overlap,15,Medium
157,P002,Project Discussion,Brainstorming,2025-10-29 17:45 - 2025-10-29 18:15,partial overlap,30,Medium
158,P002,Project Discussion,Brainstorming,2025-10-29 18:14 - 2025-10-29 18:15,partial overlap,1,Low
159,P002,Tech Sharing,Deployment,2025-10-30 12:45 - 2025-10-30 12:46,partial overlap,1,Low
160,P002,Project Discussion,Project Discussion,2025-10-29 18:14 - 2025-10-29 18:37,containment,23,Medium
161,P002,Code Review,Project Discussion,2025-11-03 15:24 - 2025-11-03 16:08,containment,44,Medium
162,P002,Team Building,Client Visit,2025-11-07 18:45 - 2025-11-07 19:15,partial overlap,30,Medium
163,P002,Team Building,Design Review,2025-11-01 11:20 - 2025-11-01 12:16,containment,56,High
164,P002,Meeting,Design Review,2025-11-08 14:46 - 2025-11-08 15:11,containment,25,Medium
165,P002,Brainstorming,Testing Acceptance,2025-11-09 14:45 - 2025-11-09 15:15,containment,30,Medium
166,P002,Tech Sharing,Design Review,2025-11-12 12:30 - 2025-11-12 12:45,partial overlap,15,Medium
167,P002,Testing Acceptance,Team Building,2025-11-10 18:15 - 2025-11-10 18:30,partial overlap,15,Medium
168,P002,Brainstorming,Team Building,2025-11-10 18:44 - 2025-11-10 19:15,partial overlap,31,Medium
169,P002,Team Building,Requirements Analysis,2025-11-14 14:15 - 2025-11-14 14:30,containment,15,Medium
170,P002,Training,Requirements Analysis,2025-11-14 14:20 - 2025-11-14 14:30,partial overlap,10,Low
171,P002,Deployment,Brainstorming,2025-11-14 18:45 - 2025-11-14 19:15,containment,30,Medium
172,P002,Testing Acceptance,Training,2025-11-13 10:45 - 2025-11-13 11:30,containment,45,High
173,P002,Tech Sharing,Training,2025-11-13 10:52 - 2025-11-13 11:09,containment,17,Medium
174,P002,Design Review,Training,2025-11-13 11:16 - 2025-11-13 11:30,partial overlap,14,Low
175,P002,Tech Sharing,Testing Acceptance,2025-11-13 10:52 - 2025-11-13 11:09,containment,17,Medium
176,P002,Design Review,Testing Acceptance,2025-11-13 11:16 - 2025-11-13 11:30,partial overlap,14,Low
177,P002,Training,Team Building,2025-11-14 14:20 - 2025-11-14 14:30,partial overlap,10,Low
178,P002,Testing Acceptance,Brainstorming,2025-11-21 08:30 - 2025-11-21 09:00,containment,30,Medium
179,P002,Team Building,One-on-One,2025-11-18 09:35 - 2025-11-18 09:45,partial overlap,10,Low
180,P002,Team Building,Training,2025-11-20 16:45 - 2025-11-20 17:15,containment,30,Medium
181,P002,Deployment,Training,2025-11-20 17:00 - 2025-11-20 17:15,partial overlap,15,Medium
182,P002,Client Visit,Operations Check,2025-11-16 16:00 - 2025-11-16 16:15,containment,15,Medium
183,P002,Client Visit,Client Visit,2025-11-16 16:30 - 2025-11-16 16:45,partial overlap,15,Medium
184,P002,Tech Sharing,Client Visit,2025-11-16 16:30 - 2025-11-16 17:00,partial overlap,30,Medium
185,P002,Requirements Analysis,Client Visit,2025-11-16 16:30 - 2025-11-16 17:15,containment,45,High
186,P002,Tech Sharing,Client Visit,2025-11-16 16:15 - 2025-11-16 16:45,partial overlap,30,Medium
187,P002,Requirements Analysis,Client Visit,2025-11-16 16:25 - 2025-11-16 16:45,partial overlap,20,Medium
188,P002,Requirements Analysis,Tech Sharing,2025-11-16 16:25 - 2025-11-16 17:00,partial overlap,35,Medium
189,P002,Deployment,Team Building,2025-11-20 17:00 - 2025-11-20 17:15,partial overlap,15,Medium
190,P002,Operations Check,Team Building,2025-11-23 13:10 - 2025-11-23 13:45,partial overlap,35,Medium
191,P002,Client Visit,Deployment,2025-11-23 09:00 - 2025-11-23 09:15,partial overlap,15,Medium
192,P003,Team Building,Product Demo,2025-09-14 17:15 - 2025-09-14 17:30,partial overlap,15,Medium
193,P003,Testing Acceptance,Team Building,2025-09-11 13:13 - 2025-09-11 13:15,partial overlap,2,Low
194,P003,Client Visit,Meeting,2025-09-23 08:59 - 2025-09-23 09:30,containment,31,Medium
195,P003,Requirements Analysis,Meeting,2025-09-23 09:00 - 2025-09-23 09:45,containment,45,High
196,P003,Requirements Analysis,Code Review,2025-09-24 17:30 - 2025-09-24 18:00,containment,30,Medium
197,P003,Client Visit,Requirements Analysis,2025-09-23 09:00 - 2025-09-23 09:30,partial overlap,30,Medium
198,P003,Code Review,Brainstorming,2025-09-20 10:24 - 2025-09-20 11:04,containment,40,Medium
199,P003,Brainstorming,Client Visit,2025-09-24 16:15 - 2025-09-24 16:30,partial overlap,15,Medium
200,P003,Training,Meeting,2025-09-27 08:45 - 2025-09-27 09:30,containment,45,High
201,P003,Meeting,One-on-One,2025-09-25 16:45 - 2025-09-25 17:15,containment,30,Medium
202,P003,Project Discussion,Code Review,2025-09-29 09:45 - 2025-09-29 10:00,partial overlap,15,Medium
203,P003,Team Building,Deployment,2025-09-24 13:38 - 2025-09-24 14:00,partial overlap,22,Medium
204,P003,Project Discussion,Training,2025-09-25 18:07 - 2025-09-25 18:45,partial overlap,38,Medium
205,P003,Project Discussion,Brainstorming,2025-09-26 15:15 - 2025-09-26 15:30,containment,15,Medium
206,P003,Meeting,Brainstorming,2025-09-29 13:43 - 2025-09-29 14:07,containment,24,Medium
207,P003,Brainstorming,Team Building,2025-10-01 16:30 - 2025-10-01 17:00,full overlap,30,Medium
208,P003,Deployment,Deployment,2025-10-03 09:00 - 2025-10-03 09:15,containment,15,Medium
209,P003,Tech Sharing,Training,2025-09-30 12:34 - 2025-09-30 12:45,partial overlap,11,Low
210,P003,Product Demo,Training,2025-09-30 12:42 - 2025-09-30 12:45,partial overlap,3,Low
211,P003,Operations Check,Testing Acceptance,2025-10-06 14:00 - 2025-10-06 14:45,full overlap,45,High
212,P003,Tech Sharing,Operations Check,2025-10-05 09:05 - 2025-10-05 09:15,partial overlap,10,Low
213,P003,Tech Sharing,Meeting,2025-10-06 18:08 - 2025-10-06 18:15,partial overlap,7,Low
214,P003,Tech Sharing,Testing Acceptance,2025-10-06 18:15 - 2025-10-06 18:34,partial overlap,19,Medium
215,P003,Team Building,Testing Acceptance,2025-10-06 18:24 - 2025-10-06 19:00,partial overlap,36,Medium
216,P003,Tech Sharing,Product Demo,2025-09-30 12:42 - 2025-09-30 13:04,containment,22,Medium
217,P003,One-on-One,Product Demo,2025-09-30 12:47 - 2025-09-30 13:02,containment,15,Medium
218,P003,Team Building,Tech Sharing,2025-10-06 18:24 - 2025-10-06 18:34,partial overlap,10,Low
219,P003,Tech Sharing,One-on-One,2025-09-30 12:47 - 2025-09-30 13:02,containment,15,Medium
220,P003,One-on-One,Code Review,2025-10-12 08:21 - 2025-10-12 08:40,containment,19,Medium
221,P003,Client Visit,Project Discussion,2025-10-14 16:00 - 2025-10-14 16:45,full overlap,45,High
222,P003,One-on-One,Training,2025-10-14 14:56 - 2025-10-14 15:00,partial overlap,4,Low
223,P003,Tech Sharing,Operations Check,2025-10-18 09:23 - 2025-10-18 09:53,containment,30,Medium
224,P003,One-on-One,Operations Check,2025-10-18 09:23 - 2025-10-18 09:56,containment,33,Medium
225,P003,One-on-One,Testing Acceptance,2025-10-14 15:15 - 2025-10-14 15:25,partial overlap,10,Low
226,P003,Team Building,Operations Check,2025-10-16 09:09 - 2025-10-16 09:30,partial overlap,21,Medium
227,P003,Tech Sharing,Tech Sharing,2025-10-21 09:00 - 2025-10-21 09:15,containment,15,Medium
228,P003,Operations Check,Project Discussion,2025-10-19 10:30 - 2025-10-19 10:45,partial overlap,15,Medium
229,P003,Operations Check,Design Review,2025-10-15 19:03 - 2025-10-15 19:34,containment,31,Medium
230,P003,One-on-One,Design Review,2025-10-15 19:08 - 2025-10-15 19:32,containment,24,Medium
231,P003,Operations Check,Project Discussion,2025-10-21 09:15 - 2025-10-21 09:45,containment,30,Medium
232,P003,Brainstorming,Project Discussion,2025-10-21 09:28 - 2025-10-21 09:57,containment,29,Medium
233,P003,Brainstorming,Operations Check,2025-10-21 09:28 - 2025-10-21 09:45,partial overlap,17,Medium
234,P003,One-on-One,Tech Sharing,2025-10-18 09:23 - 2025-10-18 09:53,containment,30,Medium
235,P003,One-on-One,Operations Check,2025-10-15 19:08 - 2025-10-15 19:32,containment,24,Medium
236,P003,Brainstorming,Product Demo,2025-10-26 14:26 - 2025-10-26 14:30,partial overlap,4,Low
237,P003,Operations Check,One-on-One,2025-10-24 13:00 - 2025-10-24 13:15,partial overlap,15,Medium
238,P003,Team Building,Product Demo,2025-10-23 11:15 - 2025-10-23 11:30,containment,15,Medium
239,P003,Deployment,Deployment,2025-10-27 09:24 - 2025-10-27 09:45,partial overlap,21,Medium
240,P003,Brainstorming,Brainstorming,2025-10-23 18:20 - 2025-10-23 18:36,containment,16,Medium
241,P003,Brainstorming,Operations Check,2025-10-26 15:15 - 2025-10-26 15:17,partial overlap,2,Low
242,P003,Deployment,Code Review,2025-10-30 16:15 - 2025-10-30 16:45,full overlap,30,Medium
243,P003,Project Discussion,Training,2025-11-02 18:15 - 2025-11-02 18:30,partial overlap,15,Medium
244,P003,Design Review,Testing Acceptance,2025-11-02 13:45 - 2025-11-02 14:15,partial overlap,30,Medium
245,P003,Requirements Analysis,Meeting,2025-11-05 14:15 - 2025-11-05 14:45,containment,30,Medium
246,P003,Client Visit,Meeting,2025-11-04 10:31 - 2025-11-04 10:46,containment,15,Medium
247,P003,Operations Check,Deployment,2025-11-05 15:00 - 2025-11-05 15:30,partial overlap,30,Medium
248,P003,Deployment,Brainstorming,2025-11-07 09:30 - 2025-11-07 09:45,partial overlap,15,Medium
249,P003,Training,Brainstorming,2025-11-13 18:10 - 2025-11-13 18:51,containment,41,Medium
250,P003,Training,Brainstorming,2025-11-13 18:39 - 2025-11-13 19:00,partial overlap,21,Medium
251,P003,One-on-One,Deployment,2025-11-13 17:15 - 2025-11-13 17:45,containment,30,Medium
252,P003,Design Review,Tech Sharing,2025-11-15 16:30 - 2025-11-15 16:45,partial overlap,15,Medium
253,P003,Operations Check,Tech Sharing,2025-11-15 16:30 - 2025-11-15 17:00,containment,30,Medium
254,P003,Brainstorming,Project Discussion,2025-11-15 12:00 - 2025-11-15 12:15,containment,15,Medium
255,P003,Training,Training,2025-11-13 18:39 - 2025-11-13 18:51,partial overlap,12,Low
256,P003,Operations Check,Code Review,2025-11-19 15:51 - 2025-11-19 16:15,partial overlap,24,Medium
257,P003,Training,Client Visit,2025-11-16 17:00 - 2025-11-16 17:15,partial overlap,15,Medium
258,P003,Code Review,Operations Check,2025-11-16 10:00 - 2025-11-16 10:15,containment,15,Medium
259,P003,Operations Check,Design Review,2025-11-15 16:30 - 2025-11-15 16:45,partial overlap,15,Medium
260,P003,Deployment,Deployment,2025-11-20 10:15 - 2025-11-20 10:30,partial overlap,15,Medium
261,P003,Training,Training,2025-11-16 17:30 - 2025-11-16 17:49,partial overlap,19,Medium
262,P003,Training,Testing Acceptance,2025-11-16 17:15 - 2025-11-16 17:30,containment,15,Medium
263,P003,Tech Sharing,Project Discussion,2025-11-22 15:00 - 2025-11-22 15:30,partial overlap,30,Medium
264,P003,Deployment,Project Discussion,2025-11-22 15:00 - 2025-11-22 15:30,containment,30,Medium
265,P003,Testing Acceptance,Brainstorming,2025-11-18 11:16 - 2025-11-18 11:36,containment,20,Medium
266,P003,Deployment,Tech Sharing,2025-11-22 15:00 - 2025-11-22 15:30,containment,30,Medium
267,P003,Tech Sharing,Product Demo,2025-11-18 08:51 - 2025-11-18 09:15,partial overlap,24,Medium
268,P004,Operations Check,Training,2025-09-12 15:40 - 2025-09-12 16:05,containment,25,Medium
269,P004,Design Review,Requirements Analysis,2025-09-17 19:02 - 2025-09-17 19:15,partial overlap,13,Low
