conflict_id,person_id,activity_1,activity_2,start_time_1,end_time_1,start_time_2,end_time_2,overlap_start,overlap_end,overlap_duration_minutes,conflict_type,severity,location_1,location_2
CONF_0031,P001,One-on-One,Code Review,2025-09-25 18:00,2025-09-25 19:00,2025-09-25 17:43,2025-09-25 18:09,2025-09-25 18:00,2025-09-25 18:09,9.0,partial overlap,Low,Office Area 2,Client Reception
CONF_0032,P001,Testing Acceptance,Tech Sharing,2025-09-23 11:30,2025-09-23 12:30,2025-09-23 11:48,2025-09-23 12:24,2025-09-23 11:48,2025-09-23 12:24,36.0,full overlap,Medium,Office Area 2,Break Room
CONF_0033,P002,Design Review,Meeting,2025-09-24 16:15,2025-09-24 17:00,2025-09-24 16:35,2025-09-24 16:50,2025-09-24 16:35,2025-09-24 16:50,15.0,full overlap,Low,Product Showcase,Online Meeting
CONF_0034,P002,Testing Acceptance,Client Visit,2025-09-21 10:15,2025-09-21 11:00,2025-09-21 10:00,2025-09-21 10:45,2025-09-21 10:15,2025-09-21 10:45,30.0,partial overlap,Medium,Demo Hall,Product Showcase
CONF_0035,P002,Deployment,Client Visit,2025-09-21 08:00,2025-09-21 09:00,2025-09-21 08:16,2025-09-21 09:06,2025-09-21 08:16,2025-09-21 09:00,44.0,partial overlap,Medium,Product Showcase,Conference Room A
CONF_0036,P002,Training,One-on-One,2025-09-26 09:15,2025-09-26 10:15,2025-09-26 09:00,2025-09-26 09:45,2025-09-26 09:15,2025-09-26 09:45,30.0,partial overlap,Medium,Office Area 2,Online Meeting
CONF_0037,P002,Training,Testing Acceptance,2025-09-26 09:15,2025-09-26 10:15,2025-09-26 09:00,2025-09-26 09:45,2025-09-26 09:15,2025-09-26 09:45,30.0,partial overlap,Medium,Office Area 2,Client Reception
CONF_0038,P002,Training,Code Review,2025-09-26 09:15,2025-09-26 10:15,2025-09-26 09:12,2025-09-26 09:45,2025-09-26 09:15,2025-09-26 09:45,30.0,partial overlap,Medium,Office Area 2,Test Lab
CONF_0039,P002,Training,Deployment,2025-09-24 12:15,2025-09-24 12:45,2025-09-24 12:40,2025-09-24 13:14,2025-09-24 12:40,2025-09-24 12:45,5.0,partial overlap,Low,Break Room,Test Lab
CONF_0040,P002,Training,Tech Sharing,2025-09-24 12:15,2025-09-24 12:45,2025-09-24 12:20,2025-09-24 13:01,2025-09-24 12:20,2025-09-24 12:45,25.0,partial overlap,Low,Break Room,Cafe
CONF_0041,P002,Tech Sharing,Testing Acceptance,2025-09-23 17:15,2025-09-23 18:00,2025-09-23 16:45,2025-09-23 17:45,2025-09-23 17:15,2025-09-23 17:45,30.0,partial overlap,Medium,Office Area 1,Product Showcase
CONF_0042,P002,One-on-One,Testing Acceptance,2025-09-26 09:00,2025-09-26 09:45,2025-09-26 09:00,2025-09-26 09:45,2025-09-26 09:00,2025-09-26 09:45,45.0,full overlap,Medium,Online Meeting,Client Reception
CONF_0043,P002,One-on-One,Code Review,2025-09-26 09:00,2025-09-26 09:45,2025-09-26 09:12,2025-09-26 09:45,2025-09-26 09:12,2025-09-26 09:45,33.0,full overlap,Medium,Online Meeting,Test Lab
CONF_0044,P002,Design Review,Product Demo,2025-09-26 14:45,2025-09-26 15:15,2025-09-26 14:30,2025-09-26 15:15,2025-09-26 14:45,2025-09-26 15:15,30.0,full overlap,Medium,Remote,Office Area 1
CONF_0045,P002,Brainstorming,Team Building,2025-09-25 13:00,2025-09-25 13:45,2025-09-25 13:15,2025-09-25 14:00,2025-09-25 13:15,2025-09-25 13:45,30.0,partial overlap,Medium,Product Showcase,Training Room
CONF_0046,P002,Requirements Analysis,Project Discussion,2025-09-25 17:45,2025-09-25 18:15,2025-09-25 17:30,2025-09-25 18:15,2025-09-25 17:45,2025-09-25 18:15,30.0,full overlap,Medium,Office Area 1,Training Room
CONF_0047,P002,Code Review,Client Visit,2025-09-28 11:15,2025-09-28 12:00,2025-09-28 11:15,2025-09-28 12:00,2025-09-28 11:15,2025-09-28 12:00,45.0,full overlap,Medium,Client Reception,Cafe
CONF_0048,P002,Code Review,Brainstorming,2025-09-28 11:15,2025-09-28 12:00,2025-09-28 11:15,2025-09-28 11:30,2025-09-28 11:15,2025-09-28 11:30,15.0,full overlap,Low,Client Reception,Office Area 2
CONF_0049,P002,Testing Acceptance,Team Building,2025-09-28 15:45,2025-09-28 16:15,2025-09-28 15:59,2025-09-28 16:59,2025-09-28 15:59,2025-09-28 16:15,16.0,partial overlap,Low,Remote,Training Room
CONF_0050,P002,Testing Acceptance,Design Review,2025-09-28 15:45,2025-09-28 16:15,2025-09-28 16:00,2025-09-28 17:00,2025-09-28 16:00,2025-09-28 16:15,15.0,partial overlap,Low,Remote,Office Area 1
CONF_0051,P002,Testing Acceptance,Code Review,2025-09-26 09:00,2025-09-26 09:45,2025-09-26 09:12,2025-09-26 09:45,2025-09-26 09:12,2025-09-26 09:45,33.0,full overlap,Medium,Client Reception,Test Lab
CONF_0052,P002,Client Visit,Brainstorming,2025-09-28 11:15,2025-09-28 12:00,2025-09-28 11:15,2025-09-28 11:30,2025-09-28 11:15,2025-09-28 11:30,15.0,full overlap,Low,Cafe,Office Area 2
CONF_0053,P003,Meeting,Requirements Analysis,2025-09-23 08:45,2025-09-23 09:45,2025-09-23 09:00,2025-09-23 09:45,2025-09-23 09:00,2025-09-23 09:45,45.0,full overlap,Medium,Client Reception,Online Meeting
CONF_0054,P003,Meeting,Client Visit,2025-09-23 08:45,2025-09-23 09:45,2025-09-23 08:59,2025-09-23 09:30,2025-09-23 08:59,2025-09-23 09:30,31.0,full overlap,Medium,Client Reception,Conference Room C
CONF_0055,P003,Code Review,Requirements Analysis,2025-09-24 17:30,2025-09-24 18:30,2025-09-24 17:30,2025-09-24 18:00,2025-09-24 17:30,2025-09-24 18:00,30.0,full overlap,Medium,Training Room,Training Room
CONF_0056,P003,Requirements Analysis,Client Visit,2025-09-23 09:00,2025-09-23 09:45,2025-09-23 08:59,2025-09-23 09:30,2025-09-23 09:00,2025-09-23 09:30,30.0,partial overlap,Medium,Online Meeting,Conference Room C
CONF_0057,P003,Brainstorming,Code Review,2025-09-20 10:15,2025-09-20 11:15,2025-09-20 10:24,2025-09-20 11:04,2025-09-20 10:24,2025-09-20 11:04,40.0,full overlap,Medium,Office Area 1,Conference Room C
CONF_0058,P003,Client Visit,Brainstorming,2025-09-24 16:00,2025-09-24 16:30,2025-09-24 16:15,2025-09-24 17:07,2025-09-24 16:15,2025-09-24 16:30,15.0,partial overlap,Low,Training Room,R&D Center
CONF_0059,P003,Meeting,Training,2025-09-27 08:30,2025-09-27 09:30,2025-09-27 08:45,2025-09-27 09:30,2025-09-27 08:45,2025-09-27 09:30,45.0,full overlap,Medium,Break Room,Conference Room A
CONF_0060,P003,One-on-One,Meeting,2025-09-25 16:45,2025-09-25 17:15,2025-09-25 16:30,2025-09-25 17:30,2025-09-25 16:45,2025-09-25 17:15,30.0,full overlap,Medium,Conference Room C,Break Room
CONF_0061,P003,Code Review,Project Discussion,2025-09-29 09:15,2025-09-29 10:00,2025-09-29 09:45,2025-09-29 10:30,2025-09-29 09:45,2025-09-29 10:00,15.0,partial overlap,Low,Conference Room B,R&D Center
CONF_0062,P003,Deployment,Team Building,2025-09-24 13:30,2025-09-24 14:00,2025-09-24 13:38,2025-09-24 14:30,2025-09-24 13:38,2025-09-24 14:00,22.0,partial overlap,Low,Conference Room A,Conference Room C
CONF_0063,P004,Product Demo,Requirements Analysis,2025-09-22 10:45,2025-09-22 11:45,2025-09-22 11:06,2025-09-22 11:27,2025-09-22 11:06,2025-09-22 11:27,21.0,full overlap,Low,Online Meeting,Break Room
CONF_0064,P004,Tech Sharing,Meeting,2025-09-20 11:30,2025-09-20 12:15,2025-09-20 11:45,2025-09-20 12:30,2025-09-20 11:45,2025-09-20 12:15,30.0,partial overlap,Medium,Remote,Conference Room C
CONF_0065,P004,Tech Sharing,Training,2025-09-20 11:30,2025-09-20 12:15,2025-09-20 11:53,2025-09-20 12:48,2025-09-20 11:53,2025-09-20 12:15,22.0,partial overlap,Low,Remote,R&D Center
CONF_0066,P004,Tech Sharing,Deployment,2025-09-23 10:15,2025-09-23 11:15,2025-09-23 10:45,2025-09-23 11:14,2025-09-23 10:45,2025-09-23 11:14,29.0,full overlap,Low,Client Reception,Cafe
CONF_0067,P004,Training,Code Review,2025-09-26 17:15,2025-09-26 18:15,2025-09-26 16:30,2025-09-26 17:30,2025-09-26 17:15,2025-09-26 17:30,15.0,partial overlap,Low,Break Room,Conference Room C
CONF_0068,P004,Meeting,Training,2025-09-20 11:45,2025-09-20 12:30,2025-09-20 11:53,2025-09-20 12:48,2025-09-20 11:53,2025-09-20 12:30,37.0,partial overlap,Medium,Conference Room C,R&D Center
CONF_0069,P004,Meeting,Design Review,2025-09-25 13:15,2025-09-25 14:00,2025-09-25 13:00,2025-09-25 13:45,2025-09-25 13:15,2025-09-25 13:45,30.0,partial overlap,Medium,R&D Center,Online Meeting
CONF_0070,P004,Meeting,Deployment,2025-09-25 13:15,2025-09-25 14:00,2025-09-25 13:45,2025-09-25 14:15,2025-09-25 13:45,2025-09-25 14:00,15.0,partial overlap,Low,R&D Center,Remote
CONF_0071,P004,Project Discussion,Deployment,2025-09-24 15:30,2025-09-24 16:15,2025-09-24 16:00,2025-09-24 16:34,2025-09-24 16:00,2025-09-24 16:15,15.0,partial overlap,Low,Break Room,Conference Room C
CONF_0072,P004,Project Discussion,Brainstorming,2025-09-28 17:00,2025-09-28 17:45,2025-09-28 17:15,2025-09-28 18:00,2025-09-28 17:15,2025-09-28 17:45,30.0,partial overlap,Medium,Online Meeting,Product Showcase
CONF_0073,P004,Brainstorming,Team Building,2025-09-30 11:15,2025-09-30 12:15,2025-09-30 11:15,2025-09-30 11:45,2025-09-30 11:15,2025-09-30 11:45,30.0,full overlap,Medium,Office Area 2,Demo Hall
CONF_0074,P005,Product Demo,Product Demo,2025-09-22 13:30,2025-09-22 14:15,2025-09-22 13:30,2025-09-22 14:15,2025-09-22 13:30,2025-09-22 14:15,45.0,full overlap,Medium,Break Room,Product Showcase
CONF_0075,P005,Product Demo,Code Review,2025-09-22 13:30,2025-09-22 14:15,2025-09-22 13:52,2025-09-22 14:09,2025-09-22 13:52,2025-09-22 14:09,17.0,full overlap,Low,Break Room,Office Area 1
CONF_0076,P005,Operations Check,Team Building,2025-09-26 12:00,2025-09-26 12:30,2025-09-26 11:30,2025-09-26 12:15,2025-09-26 12:00,2025-09-26 12:15,15.0,partial overlap,Low,Office Area 1,Conference Room C
CONF_0077,P005,Code Review,Product Demo,2025-09-20 08:15,2025-09-20 09:00,2025-09-20 08:36,2025-09-20 09:20,2025-09-20 08:36,2025-09-20 09:00,24.0,partial overlap,Low,Cafe,Conference Room C
CONF_0078,P005,Deployment,Operations Check,2025-09-26 10:15,2025-09-26 10:45,2025-09-26 10:30,2025-09-26 11:00,2025-09-26 10:30,2025-09-26 10:45,15.0,partial overlap,Low,Remote,Office Area 2
CONF_0079,P005,Deployment,One-on-One,2025-09-26 10:15,2025-09-26 10:45,2025-09-26 09:45,2025-09-26 10:30,2025-09-26 10:15,2025-09-26 10:30,15.0,partial overlap,Low,Remote,Cafe
CONF_0080,P005,Tech Sharing,Meeting,2025-09-27 18:15,2025-09-27 18:45,2025-09-27 18:41,2025-09-27 19:24,2025-09-27 18:41,2025-09-27 18:45,4.0,partial overlap,Low,Demo Hall,Remote
CONF_0081,P005,Product Demo,Code Review,2025-09-22 13:30,2025-09-22 14:15,2025-09-22 13:52,2025-09-22 14:09,2025-09-22 13:52,2025-09-22 14:09,17.0,full overlap,Low,Product Showcase,Office Area 1
CONF_0082,P005,Operations Check,Testing Acceptance,2025-09-25 18:30,2025-09-25 19:00,2025-09-25 18:35,2025-09-25 19:14,2025-09-25 18:35,2025-09-25 19:00,25.0,partial overlap,Low,Cafe,Cafe
CONF_0083,P005,Client Visit,Product Demo,2025-09-27 12:30,2025-09-27 13:15,2025-09-27 12:45,2025-09-27 13:45,2025-09-27 12:45,2025-09-27 13:15,30.0,partial overlap,Medium,Break Room,Training Room
CONF_0084,P002,Deployment,Tech Sharing,2025-09-24 12:40,2025-09-24 13:14,2025-09-24 12:20,2025-09-24 13:01,2025-09-24 12:40,2025-09-24 13:01,21.0,partial overlap,Low,Test Lab,Cafe
CONF_0085,P001,Code Review,Design Review,2025-09-25 17:43,2025-09-25 18:09,2025-09-25 17:15,2025-09-25 18:00,2025-09-25 17:43,2025-09-25 18:00,17.0,partial overlap,Low,Client Reception,Break Room
CONF_0086,P001,Tech Sharing,Requirements Analysis,2025-09-26 11:00,2025-09-26 11:45,2025-09-26 11:11,2025-09-26 11:48,2025-09-26 11:11,2025-09-26 11:45,34.0,partial overlap,Medium,Conference Room A,Product Showcase
CONF_0087,P001,Tech Sharing,Product Demo,2025-09-25 11:45,2025-09-25 12:30,2025-09-25 12:00,2025-09-25 12:45,2025-09-25 12:00,2025-09-25 12:30,30.0,partial overlap,Medium,Demo Hall,Client Reception
CONF_0088,P001,Training,Requirements Analysis,2025-09-28 16:00,2025-09-28 16:30,2025-09-28 16:11,2025-09-28 16:40,2025-09-28 16:11,2025-09-28 16:30,19.0,partial overlap,Low,Product Showcase,Conference Room A
CONF_0089,P001,Tech Sharing,Brainstorming,2025-10-03 13:15,2025-10-03 13:45,2025-10-03 13:15,2025-10-03 14:00,2025-10-03 13:15,2025-10-03 13:45,30.0,full overlap,Medium,Cafe,Conference Room C
CONF_0090,P001,Tech Sharing,Training,2025-10-03 13:15,2025-10-03 13:45,2025-10-03 12:45,2025-10-03 13:30,2025-10-03 13:15,2025-10-03 13:30,15.0,partial overlap,Low,Cafe,Remote
CONF_0091,P001,Code Review,Meeting,2025-10-02 13:00,2025-10-02 13:45,2025-10-02 13:00,2025-10-02 13:30,2025-10-02 13:00,2025-10-02 13:30,30.0,full overlap,Medium,Product Showcase,Office Area 1
CONF_0092,P001,Requirements Analysis,Deployment,2025-09-30 14:00,2025-09-30 14:45,2025-09-30 14:15,2025-09-30 15:00,2025-09-30 14:15,2025-09-30 14:45,30.0,partial overlap,Medium,Demo Hall,Test Lab
CONF_0093,P001,Operations Check,Operations Check,2025-10-02 08:30,2025-10-02 09:15,2025-10-02 09:00,2025-10-02 09:45,2025-10-02 09:00,2025-10-02 09:15,15.0,partial overlap,Low,Remote,Remote
CONF_0094,P001,Operations Check,Team Building,2025-10-02 08:30,2025-10-02 09:15,2025-10-02 08:30,2025-10-02 09:00,2025-10-02 08:30,2025-10-02 09:00,30.0,full overlap,Medium,Remote,Training Room
CONF_0095,P001,Testing Acceptance,Client Visit,2025-10-01 11:15,2025-10-01 11:30,2025-10-01 10:45,2025-10-01 11:30,2025-10-01 11:15,2025-10-01 11:30,15.0,full overlap,Low,Training Room,Test Lab
CONF_0096,P001,Testing Acceptance,Deployment,2025-10-01 11:15,2025-10-01 11:30,2025-10-01 11:15,2025-10-01 11:30,2025-10-01 11:15,2025-10-01 11:30,15.0,full overlap,Low,Training Room,Conference Room B
CONF_0097,P001,Project Discussion,Project Discussion,2025-10-05 14:00,2025-10-05 14:45,2025-10-05 14:00,2025-10-05 15:00,2025-10-05 14:00,2025-10-05 14:45,45.0,full overlap,Medium,Client Reception,Conference Room C
CONF_0098,P001,Project Discussion,Meeting,2025-10-05 14:00,2025-10-05 14:45,2025-10-05 14:19,2025-10-05 15:18,2025-10-05 14:19,2025-10-05 14:45,26.0,partial overlap,Low,Client Reception,Conference Room A
CONF_0099,P001,Tech Sharing,Design Review,2025-10-02 18:30,2025-10-02 19:15,2025-10-02 18:51,2025-10-02 19:25,2025-10-02 18:51,2025-10-02 19:15,24.0,partial overlap,Low,Cafe,Office Area 2
CONF_0100,P001,Brainstorming,Training,2025-10-03 13:15,2025-10-03 14:00,2025-10-03 12:45,2025-10-03 13:30,2025-10-03 13:15,2025-10-03 13:30,15.0,partial overlap,Low,Conference Room C,Remote
CONF_0101,P001,Client Visit,Deployment,2025-10-01 10:45,2025-10-01 11:30,2025-10-01 11:15,2025-10-01 11:30,2025-10-01 11:15,2025-10-01 11:30,15.0,full overlap,Low,Test Lab,Conference Room B
CONF_0102,P001,Design Review,Operations Check,2025-10-02 09:45,2025-10-02 10:00,2025-10-02 09:45,2025-10-02 10:30,2025-10-02 09:45,2025-10-02 10:00,15.0,full overlap,Low,R&D Center,Test Lab
CONF_0103,P001,Meeting,Training,2025-10-08 13:30,2025-10-08 14:00,2025-10-08 13:57,2025-10-08 14:20,2025-10-08 13:57,2025-10-08 14:00,3.0,partial overlap,Low,Product Showcase,Office Area 1
CONF_0104,P001,Client Visit,Deployment,2025-10-02 15:15,2025-10-02 16:00,2025-10-02 15:40,2025-10-02 16:19,2025-10-02 15:40,2025-10-02 16:00,20.0,partial overlap,Low,Client Reception,Online Meeting
CONF_0105,P002,Brainstorming,Code Review,2025-10-01 16:00,2025-10-01 16:15,2025-10-01 15:45,2025-10-01 16:15,2025-10-01 16:00,2025-10-01 16:15,15.0,full overlap,Low,Remote,Demo Hall
CONF_0106,P002,Brainstorming,Deployment,2025-10-01 16:00,2025-10-01 16:15,2025-10-01 15:09,2025-10-01 16:09,2025-10-01 16:00,2025-10-01 16:09,9.0,partial overlap,Low,Remote,Remote
CONF_0107,P002,Product Demo,Requirements Analysis,2025-10-01 17:30,2025-10-01 17:45,2025-10-01 17:12,2025-10-01 18:04,2025-10-01 17:30,2025-10-01 17:45,15.0,full overlap,Low,Product Showcase,Training Room
CONF_0108,P002,Deployment,Operations Check,2025-09-29 10:00,2025-09-29 10:30,2025-09-29 09:30,2025-09-29 10:15,2025-09-29 10:00,2025-09-29 10:15,15.0,partial overlap,Low,Product Showcase,Online Meeting
CONF_0109,P002,Brainstorming,Testing Acceptance,2025-09-30 15:00,2025-09-30 15:30,2025-09-30 15:15,2025-09-30 15:45,2025-09-30 15:15,2025-09-30 15:30,15.0,partial overlap,Low,Conference Room A,Office Area 2
CONF_0110,P002,Training,Requirements Analysis,2025-10-01 17:15,2025-10-01 17:30,2025-10-01 17:12,2025-10-01 18:04,2025-10-01 17:15,2025-10-01 17:30,15.0,full overlap,Low,R&D Center,Training Room
CONF_0111,P002,Product Demo,Requirements Analysis,2025-10-01 16:45,2025-10-01 17:15,2025-10-01 17:12,2025-10-01 18:04,2025-10-01 17:12,2025-10-01 17:15,3.0,partial overlap,Low,Conference Room A,Training Room
CONF_0112,P002,Requirements Analysis,Meeting,2025-10-04 13:00,2025-10-04 13:45,2025-10-04 13:16,2025-10-04 13:37,2025-10-04 13:16,2025-10-04 13:37,21.0,full overlap,Low,R&D Center,Office Area 1
CONF_0113,P002,One-on-One,Operations Check,2025-10-03 08:45,2025-10-03 09:30,2025-10-03 09:04,2025-10-03 09:48,2025-10-03 09:04,2025-10-03 09:30,26.0,partial overlap,Low,Online Meeting,Remote
CONF_0114,P002,Code Review,Deployment,2025-10-01 15:45,2025-10-01 16:15,2025-10-01 15:09,2025-10-01 16:09,2025-10-01 15:45,2025-10-01 16:09,24.0,partial overlap,Low,Demo Hall,Remote
CONF_0115,P002,Brainstorming,Design Review,2025-10-06 14:45,2025-10-06 15:00,2025-10-06 14:30,2025-10-06 15:00,2025-10-06 14:45,2025-10-06 15:00,15.0,full overlap,Low,Conference Room A,Demo Hall
CONF_0116,P003,Training,Project Discussion,2025-09-25 18:00,2025-09-25 18:45,2025-09-25 18:07,2025-09-25 19:00,2025-09-25 18:07,2025-09-25 18:45,38.0,partial overlap,Medium,Demo Hall,Conference Room B
CONF_0117,P003,Brainstorming,Project Discussion,2025-09-26 15:00,2025-09-26 15:30,2025-09-26 15:15,2025-09-26 15:30,2025-09-26 15:15,2025-09-26 15:30,15.0,full overlap,Low,Test Lab,Training Room
CONF_0118,P003,Brainstorming,Meeting,2025-09-29 13:30,2025-09-29 14:15,2025-09-29 13:43,2025-09-29 14:07,2025-09-29 13:43,2025-09-29 14:07,24.0,full overlap,Low,Break Room,Remote
CONF_0119,P003,Team Building,Brainstorming,2025-10-01 16:30,2025-10-01 17:00,2025-10-01 16:30,2025-10-01 17:00,2025-10-01 16:30,2025-10-01 17:00,30.0,full overlap,Medium,R&D Center,Office Area 1
CONF_0120,P003,Deployment,Deployment,2025-10-03 08:45,2025-10-03 09:30,2025-10-03 09:00,2025-10-03 09:15,2025-10-03 09:00,2025-10-03 09:15,15.0,full overlap,Low,Test Lab,Conference Room C
CONF_0121,P003,Training,Product Demo,2025-09-30 12:15,2025-09-30 12:45,2025-09-30 12:42,2025-09-30 13:04,2025-09-30 12:42,2025-09-30 12:45,3.0,partial overlap,Low,Cafe,Conference Room C
CONF_0122,P003,Training,Tech Sharing,2025-09-30 12:15,2025-09-30 12:45,2025-09-30 12:34,2025-09-30 13:17,2025-09-30 12:34,2025-09-30 12:45,11.0,partial overlap,Low,Cafe,Cafe
